Node,Owner,Chassis,Serial,Warranty,CPU,Mem,#CPUs
hpc3-14-00,MRI,ProLiant XL170r Gen10,2M294204LF,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-01,MRI,ProLiant XL170r Gen10,2M294204L8,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-02,MRI,ProLiant XL170r Gen10,2M294204LG,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-03,MRI,ProLiant XL170r Gen10,2M294204L9,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-04,MRI,ProLiant XL170r Gen10,2M294204LD,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-05,MRI,ProLiant XL170r Gen10,2M294204KX,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-06,MRI,ProLiant XL170r Gen10,2M294204KL,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-07,MRI,ProLiant XL170r Gen10,2M294204LP,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-08,MRI,ProLiant XL170r Gen10,2M294204KH,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-09,MRI,ProLiant XL170r Gen10,2M294204KF,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-10,MRI,ProLiant XL170r Gen10,2M294204KJ,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-11,MRI,ProLiant XL170r Gen10,2M294204KG,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-12,MRI,ProLiant XL170r Gen10,2M294204KV,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-13,MRI,ProLiant XL170r Gen10,2M294204KN,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-14,MRI,ProLiant XL170r Gen10,2M294204KQ,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-15,MRI,ProLiant XL170r Gen10,2M294204KP,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-16,MRI,ProLiant XL170r Gen10,2M294204LB,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
hpc3-14-17,MRI,ProLiant XL170r Gen10,2M294204LH,2025-12-18,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,192,40
