Module Name,CentOS 7,Rocky Linux 8,Comments
abaqus/2019,yes,:red:`NO`,Unused
afni/20.3.01,yes,yes,''
afni/22.1.09,,yes,New version
amber/19.11/gcc.8.4.0,yes,yes,''
amber/21.12/gcc.11.2.0,,yes,New version
anaconda/2020.07,yes,yes,''
anaconda/2021.11,yes,yes,''
anaconda/2022.05,yes,yes,New version
ansys/2019R2,yes,yes,''
ansys/2020R2,yes,yes,''
ants/2.2.0,yes,yes,''
ants/2.3.5,,yes,New version
aria2/1.36.0,yes,yes,''
ashs/2.0.0,yes,:red:`NO`,Unused
awscli/2.8.3,,yes,New version
bamtools/2.5.1,yes,yes,''
bamtools/2.5.2,,yes,New version
bandage/0.8.1,yes,:red:`NO`,Unused
bazel/0.26.1,yes,yes,''
bazel/4.2.2,,yes,New version
bbmap/38.87,yes,yes,''
bbmap/38.96,,yes,New version
bcftools/1.10.2,yes,yes,''
bcftools/1.15.1,,yes,New version
bedops/2.4.39,yes,yes,''
bedtools2/2.29.2,yes,yes,''
bedtools2/2.30.0,,yes,New version
bioconda/4.8.3,yes,yes,''
biom-format/2.1.12,yes,yes,''
bionetgen/2.5.1,yes,yes,''
bionetgen/2.8.0,,yes,New version
bismark/0.22.3,yes,yes,''
bismark/0.23.1,,yes,New version
boost/1.50.0/gcc.8.4.0,yes,yes,''
boost/1.66.0/gcc.8.4.0,yes,yes,''
boost/1.71.0/gcc.8.4.0,yes,yes,''
boost/1.78.0/gcc.8.4.0,yes,yes,''
boost/1.78.0/gcc.11.2.0,,yes,New version
bowtie/1.2.3,yes,yes,''
bowtie2/2.4.1,yes,yes,''
bowtie2/2.4.4,yes,yes,''
bowtie2/2.4.5,,yes,New version
bowtie2-python2/2.4.1,yes,yes,''
bracken/2.6.0,yes,yes,''
bracken/2.6.2,,yes,New version
breseq/0.35.7,yes,:red:`NO`,Unused
bustools/0.40.0,yes,yes,''
bwa/0.7.17,yes,yes,''
bwa/0.7.8,yes,yes,''
canu/2.0,yes,yes,''
cdhit/4.8.1,yes,yes,''
cellranger/3.0.2,yes,:red:`NO`,Unused
cellranger/3.1.0,yes,yes,''
cellranger/6.1.2,yes,yes,''
cellranger/7.0.1,,yes,New version
cgal/5.0.2,yes,:red:`NO`,Unused
charm/6.10.1/gcc.8.4.0,yes,yes,''
charm/6.10.1/gcc.8.4.0-openmpi.4.0.3,yes,:red:`NO`,Unused
charm/7.0.0/gcc.11.2.0,,yes,New version
chimera/1.15,yes,:red:`NO`,Unused
cistem/1.0.0,yes,:red:`NO`,Unused
clang/10.0.0,yes,:red:`NO`,Unused
clang/11.1.0,,yes,New version
clang/13.0.0,,yes,New version
clang/9.0.1,yes,:red:`NO`,Unused
cmake/3.20.5,,yes,New version
cmake/3.22.1,,yes,New version
cmseq/1.0.4,yes,yes,''
computecpp/1.3.0,yes,:red:`NO`,Unused
comsol/5.6.0,yes,:red:`NO`,Unused
cuda/10.1.243,yes,yes,''
cuda/11.4.0,yes,yes,''
cuda/11.7.1,yes,yes,New version
cudasdk/20.7,yes,:red:`NO`,Unused
cufflinks/2.2.1,yes,:red:`NO`, :red:`Use singularity container`
cutadapt/2.10,yes,yes,''
cutadapt/4.0,,yes,New version
deeptools/3.5.0,yes,yes,''
deeptools/3.5.1,,yes,New version
dendropy/4.5.2,yes,yes,''
diamond/2.0.4,yes,yes,''
diamond/2.0.15,,yes,New version
dream3d/6.5.141,yes,:red:`NO`,Unused
edirect/1.0,yes,:red:`NO`,:red:`Renamed as edirect/2020`
edirect/2020,,yes,New version
